Channel,AuthorID,Author,Date,Content,Attachments,Reactions,sentiment
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],369700858742571008,mantisclone,2023-03-29 01:02:00,gm 👋 :Water_Wave: :Oceancopy:,,,0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],843831770062913568,white_rider_,2023-03-29 16:37:00,Good morning to all the @🧑‍💻Builder 🌊,,,0.4404
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],563434444321587202,Maki#4920,2023-03-29 16:37:00,**@White Rider just advanced to level 4!**,https://cdn.discordapp.com/attachments/1088751449271447552/1090555394130194492/Maki-levelup.png?ex=65def0db&is=65cc7bdb&hm=9c141b8b8045cc075cc944462c65ee3e662b0d24a4eec2496931630e06eed221&,powerup (1),0.3164
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],194817764236460034,robinlehmann,2023-03-29 16:40:00,https://tenor.com/view/hello-there-baby-yoda-mandolorian-hello-gif-20136589,,babyyodasoup (1),0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],387401160656683034,birususama,2023-03-29 16:40:00,Good morning everyone 😀,,🌅 (1),0.4404
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],294623609786204160,AutoBot#1760,2023-03-29 16:59:00,☀️,,☀️ (1),0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],843831770062913568,white_rider_,2023-03-29 16:59:00,"Is great to have you all here 🌊  As we are processing the inbound requests from the builders form, more members will be added to this group.
To give you some context for this group. We realised, through the feedback we received from you(thank you very much 🙏 ) that we we were not doing a great job in supporting the community members that are building with and on top of Ocean. So we decided to pay more attention and allocate more resources specifically to for this.

We see this channel as a platform for you to receive practical assistance with the projects and tasks you are engaged in and also to connect like-minded people that are building with Ocean.

With that being said, if you have any questions, ideas or other let's dive deep 🌊",,"💯 (5),🙏🏽 (1),👍 (1),🌊 (1)",0.9349
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],408537280685408256,dudeamir,2023-03-30 22:17:00,Anyone tried transfer dataNFT ownership to a safe multisig wallet and set the minter role after the transfer?,,Oceancopy (1),0.4404
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],408537280685408256,dudeamir,2023-03-30 22:18:00,"Sorry asked without context, i assumed its builder channel and its relevant to ask here 😄",,,-0.0772
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],800024001006141451,ndehouche,2023-04-08 23:55:00,"Hello everyone, I am working on the DAOkit at https://haai.info. The idea is to offer DAOs ways to collect verifiable human intelligent input from their members and monetize it using Ocean tech. One of our current use cases is medical diagnosis and peer review from NFT-vetted medical doctors.",,🙌 (1),0.4588
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],625415196713943051,alexcos20,2023-04-18 00:46:00,can you try with WalletConnect?  it should work,,,0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],804604311015129089,doteth,2023-04-21 00:17:00,"@Gary @malgamoe  

Welcome to the private builders channel! 

Go ahead, give a quick intro about what you’re building and meet other Ocean builders here 🌊 🚀",,,0.5093
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],298568811542609921,malgamoe,2023-04-21 03:42:00,"Thanks Andrea.
We're working on a platform to sell/use access to prompts and vector spaces for AI tools, starting with LLMs(chatGPT, etc..)",,👍 (1),0.4404
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],408537280685408256,dudeamir,2023-04-21 12:43:00,Any one knows a reliable tool/API that returns a reputation score for a wallet? Even a flag showing wallet had zero activity does the job!,,,0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],408537280685408256,dudeamir,2023-04-24 21:07:00,"Thanks but this would go more toward managing asset, wanted an API which can tell if a wallet address had any activity what so ever, to mitigate attacks by bots creating new wallet addresses. There are other ways to solve that as well, but thought maybe its already out there and widely used.",,,0.8124
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],298568811542609921,malgamoe,2023-04-24 22:05:00,"You could try with debank api or other wallet tracker.
https://docs.cloud.debank.com/en/readme/api-pro-reference/user#get-user-transaction-history-on-all-supported-chains",,"🙏 (1),🍻 (1)",0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],800024001006141451,ndehouche,2023-04-27 00:24:00,What's wrong with the Etherscan API? https://api.etherscan.io/apis,,,-0.4767
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],408537280685408256,dudeamir,2023-04-27 00:30:00,"Yup, nothing wrong with it 😁 would have been nice to have one API for few networks (atleast eth & polygon) at the same time.",,,0.6546
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],800024001006141451,ndehouche,2023-04-27 01:22:00,"You can just combine calls to each API, Etherscan, PolygonScan, etc. Syntax should be similar.",,"👍 (1),🍻 (1)",0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],298568811542609921,malgamoe,2023-04-27 02:50:00,I saw there is WIP PR to replace web3.js with ethers.js in ocean .js. Do we know how far it is to be merged?,,,0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],843831770062913568,white_rider_,2023-04-27 15:26:00,"Hello 👋 Yep, our engineers are working to update ocean.js to use ethers.js mainly to support the new wallet connect. We don't have a tentative date yet. Once the changes will be tested and validated, we will let you know in the #🚀┃tech-announcements channel",,🔥 (1),0.7003
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],408537280685408256,dudeamir,2023-04-28 00:32:00,"thanks dude, we got it sorted out.",,👍 (1),0.4404
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],408537280685408256,dudeamir,2023-04-28 00:33:00,Anyone knows where to get DAI on Mumbai testnet?,,🤔 (1),0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],298568811542609921,malgamoe,2023-04-28 05:10:00,Ok thanks,,,0.6249
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],776809690734395433,swish24_08,2023-05-08 23:21:00,"you are correct, this is an issue in the docs. They are currently in work for a major refactor. @White Rider can you add this as an issue : delete this image entirely 😂",,,0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],843831770062913568,white_rider_,2023-05-09 00:48:00,"Sure thing, thanks for rising this issue 👍🏻",,,0.6369
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],253215664632758273,abrom8,2023-06-15 17:10:00,"Dear @🧑‍💻Builder , 

deltaDAO has released the first public version of Nautilus, an Ocean.js wrapper. It's open-source and has been released under Apache-2.0 license.

**Key features of Nautilus include:**

- Simple installation via npm, allowing users to get started in minutes
- Builder classes that eliminate the need to learn DDO structures
- Easy publishing of datasets and algorithms for access and compute
- Support for starting compute jobs and retrieving results
- Consumption of access type assets (datasets & algorithms)
- Support for userdata and algocustomdata parameters
- Extensive readme with ready-to-go usage examples


**Feel free to test, provide feedback and contribute on GitHub:**

https://github.com/deltaDAO/nautilus

https://www.npmjs.com/package/@deltadao/nautilus",,"❤️ (5),👍 (2)",0.9313
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],843831770062913568,white_rider_,2023-06-15 17:34:00,Great stuff 🚀,,ocean (1),0.6249
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],194817764236460034,robinlehmann,2023-06-15 19:20:00,Does it work with React Native? 🙂,,,0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],253215664632758273,abrom8,2023-06-15 19:23:00,"I'm not a react native expert, but it should work everywhere where Ocean.js is working. It works best in combination with Typescript.",,,0.7783
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],194817764236460034,robinlehmann,2023-06-15 19:38:00,"Ok, then maybe in the next version 🙂",,,0.296
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],354568002282192897,kitblake,2023-06-16 10:37:00,Looks superb 💯  Thank you,,🙏 (3),0.765
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],369700858742571008,mantisclone,2023-06-17 05:31:00,Nice,,,0.4215
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],483952829443211264,domingosl,2023-06-23 21:52:00,"Hello guys! I hope this is the right place to ask, we are building an application with Ocean that depends on Aquarius. For some reason Aquarius is not storing/caching our data, you can try it here: https://themap.matters.global/app/ (or see the video) If you create a new node, you’ll see that after the 2 transactions our app remains in a loop waiting for Aquarius (see network tab going in 404).

This happen to us in the past, and it was a validation issue on Aquarius side, and we discover that thanks to a person working for Ocean that help us checking the logs, so I suspect this time is similar, is it possibile for you guys to check the Aquarius logs and understand whats going on? 🙏  here’s the relevant data you can use for logs (did:op:37d88d76b41637b7b23e09634c449242b06300d0fbb4663678ac41d486a35906). THANKS!",https://cdn.discordapp.com/attachments/1088751449271447552/1121799869674291331/screencast_2023-05-29_10-57-59.mp4?ex=65e1dd8a&is=65cf688a&hm=03ef40c2dfa2af6d4cb6aea29798205dba5466538fd2381e23fff10426515ee5&,,0.899
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],483952829443211264,domingosl,2023-06-23 22:09:00,cc @Mihai | Ocean,,,0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],776809690734395433,swish24_08,2023-06-23 22:17:00,"hei @DomingoSL can you please open this in #🐛┃tech-issues , the whole team will be able to support you better",,,0.7845
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],483952829443211264,domingosl,2023-06-23 22:17:00,Yes of course 🙂,,🙌🏻 (1),0.4019
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],483952829443211264,domingosl,2023-06-23 22:19:00,Done,,,0.0
Ocean Protocol - CORE-TECH - 🌊┃builders [1088751449271447552],286233973695447042,filipmasar,2023-06-28 00:02:00,"Hello! I was checking the latest ocean.js v3. Why is it using ethers v5 and not the lastest v6? Is there a specific reason for that? 
Does it mean that any application that is using ocean.js v3 should also use ethers v5 same as ocean market?",,,0.0
