Channel,AuthorID,Author,Date,Content,Attachments,Reactions,sentiment
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-25 22:44:00,N/A,,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-26 16:24:00,N/A,,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-26 17:23:00,N/A,,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-26 17:40:00,N/A,,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-26 18:04:00,N/A,,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],625415196713943051,alexcos20,2020-11-26 19:47:00,somehow related to https://github.com/oceanprotocol/provider/issues/16,,👍🏻 (1),0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],625415196713943051,alexcos20,2020-11-26 19:47:00,payment should be prevented if the URL is not accessible,,,0.0258
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-26 20:09:00,N/A,,"👍🏻 (1),👏🏻 (1)",0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-26 20:27:00,N/A,,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-26 20:29:00,N/A,,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-26 20:51:00,N/A,,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-26 20:55:00,N/A,,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-26 20:57:00,N/A,,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-26 23:02:00,N/A,,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],159985870458322944,MEE6#4876,2020-11-26 23:09:00,"Hey @everyone,  new **shipping\_ocean**  Tweet!
https://twitter.com/shipping_ocean/status/1331978304170156033",,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-26 23:16:00,N/A,,,0.0
Ocean Protocol - CORE-TECH - 🛳︱github [773926934601269248],780422212297424916,GitHub,2020-11-27 19:04:00,N/A,,,0.0
