Channel,AuthorID,Author,Date,Content,Attachments,Reactions,sentiment
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],804604311015129089,doteth,2023-03-24 01:52:00,@zippy1979 Your favorite channel is now here,,"peepoMoney (1),MoneyGlassesGmoney (1),mushymoneywave (1),mushymoneywave2 (1),🫰 (1)",0.4588
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],209963946432528384,zippy1979,2023-03-24 02:37:00,https://tenor.com/view/wwe-vince-mc-mahon-entrance-entry-strut-gif-4685176,,,0.0
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],209963946432528384,zippy1979,2023-03-24 02:38:00,https://tenor.com/view/vince-mcmahon-meme-gif-25576019,,,0.0
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],804604311015129089,doteth,2023-03-24 02:45:00,😎,https://cdn.discordapp.com/attachments/1088458691671502890/1088534049477378108/ocean_store_value.jpg?ex=65e0d0d5&is=65ce5bd5&hm=28b21345bacffec2e923d0c3933464b65d382157b23c02a46e513838ceec2275&,"🤣 (2),🙏🏻 (2)",0.0
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],818446229440692286,ajc79,2023-03-24 04:29:00,"Newbie question, but does anyone know where I can check the size of Ocean's treasury online and what precise assets it contains? TIA.",,,0.8689
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],209963946432528384,zippy1979,2023-03-30 06:07:00,"Hi ajc, sorry for getting back to you late, however I've asked around and there isn't a really good answer to this at the moment. However the good news is that there will be a much clearer answer in the future.

According to my sources in the team:

The treasury as a discrete object doesn't quite exist yet. Funds are stored in a bunch of different wallets.
The team has begun working on the contracts that will be responsible for this. The contracts have already been deployed and tested on Goerli :Oceancopy:",,❤️ (1),-0.3497
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],818446229440692286,ajc79,2023-03-30 06:28:00,Many thanks @zippy1979. Look forward to hearing more about that when it's all finalized and done.  👍,,🤝 (1),0.4404
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],836200499723239424,wally0221,2023-04-02 20:25:00,https://tenor.com/view/smile-big-smile-cats-creepy-big-teeth-gif-14087581,,,0.0
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],983869753368150027,fernandapaixao,2023-04-05 18:53:00,Hello!! What about the gas fee in Ocean Protocol? And Ocean has EThereum Connectivity?,,,0.0
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],804604311015129089,doteth,2023-04-05 19:21:00,"Yes, Ocean is on Ethereum and it’s EVM compatible. Gas fees change based on ethereum/network congestion - this is outside our control",,,0.4019
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],781134177406943272,liquidsurfer,2023-04-07 12:55:00,Brilliant,,,0.5859
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],339391682120384513,d.langford,2023-04-07 16:50:00,when $0.08,,,0.0
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],781134177406943272,liquidsurfer,2023-04-08 00:36:00,Wen $1,,,0.0
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],768163222095134732,lukas85#6738,2023-04-08 02:01:00,wehn $10,,buy (11),0.0
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],949624125272514562,laurentony15#2825,2023-04-14 22:43:00,"I got am issue
I need assistance
Any help team or advocate here",,,0.4019
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],625415196713943051,alexcos20,2023-04-17 14:14:00,can you explain a little bit your issues please?,,,0.3182
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],768163222095134732,lukas85#6738,2023-04-19 08:44:00,https://tenor.com/view/aquaman-swimming-ocean-super-friends-dc-gif-26009154,,,0.0
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],768163222095134732,lukas85#6738,2023-04-19 08:44:00,current price action (someone replace his head with ocean logo),,,0.0
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],697010937617580115,herky11_be,2023-04-21 22:22:00,"Hi guys, I'm following this coin for some time now. Seems like we're heading towards a support zone on the weekly OCEANBTC chart. Am I correct ? 🙂 Anyone who also monitors these charts ?",,,0.6767
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],209963946432528384,zippy1979,2023-04-27 19:44:00,Market has been totally crazy these last 2 weeks 😬,,,-0.4005
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],209963946432528384,zippy1979,2023-04-27 19:45:00,Has been hard for me to draw conclusions.,,,-0.1027
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],768163222095134732,lukas85#6738,2023-04-28 01:33:00,Ocean keeps getting features in articles like this - https://coinmarketcap.com/community/articles/644a48d64bebb711c96270db/,,Pepe_Spasm2 (14),0.3612
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],768163222095134732,lukas85#6738,2023-04-28 01:33:00,good sign,,,0.4404
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],697010937617580115,herky11_be,2023-04-28 18:34:00,"Yeah, for me too. With the current fear as the main problem 😁",,,-0.5719
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],209963946432528384,zippy1979,2023-04-28 18:37:00,Please don't shill other tokens/services here.,,,0.3182
Ocean Protocol - ECOSYSTEM - 📈︱traders-lounge [1088458691671502890],209963946432528384,zippy1979,2023-04-28 18:37:00,@Deleted User,,,0.0
