Channel,AuthorID,Author,Date,Content,Attachments,Reactions,sentiment
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-07-11 15:53:00,"Hello everyone! 😀 

**Introducing the Ocean Data Bounty**
Helping data providers to package, price and market their data.

With the latest version of Ocean Protocol — OceanONDA V4 live, we are announcing a new initiative to accelerate the adoption of Ocean as the orchestration layer for Data and AI. The Ocean Data Bounty program seeks to expedite the shift into a New Data Economy by incentivising data-driven insights and the building of algorithms on datasets geared toward solving complex business challenges.

The following blog post gives an overview of:

1) Ocean’s vision driving the program
2) Ocean bounty phases
3) Expected process and benefits.

https://blog.oceanprotocol.com/introducing-the-ocean-data-bounty-7eb1e3bf3c0a

For questions, feel free to use this channel or refer to this document below 👇  https://docs.google.com/spreadsheets/d/11FUUl3wzqtXMcaz6XUbtR8XL_03WdpWVRE0tXPKvnvY/edit#gid=1897861272",,,0.902
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],408537280685408256,dudeamir,2022-07-11 23:14:00,"so, how can we take part?",,👍 (1),0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],916979355429777428,damien_q,2022-07-12 17:32:00,"Hello, same question, how can we join the program? Also, will this be available as a feature for marketplace operators (making rewards fully customisable)? Thanks!",,👍 (1),0.8454
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-07-13 00:30:00,"We're currently in the process of releasing a dedicated page for the Data Bounty Program, in the meantime you can DM and I'd be happy to provide you with more information/support with the bounty @dudeAmir | datalatte @DamienQ",,🙌 (1),0.7717
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-07-13 22:10:00,Ocean Data Bounty Program is Live on the official ocean site: https://oceanprotocol.com/,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],194817764236460034,robinlehmann,2022-07-13 22:18:00,https://twitter.com/oceanprotocol/status/1547166783232430080,,🔥 (2),0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-07-15 21:18:00,Pinned a message.,,,0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-07-15 21:20:00,"Hey @dudeAmir | datalatte @DamienQ , there are multiple ways to take part. 

If you'd like to participate to one of our bounties as a data scientist you can find more details here: https://oceanprotocol.com/bounties and submit your entry before the deadline via questbook.

Otherwise, if you want to organise a bounty (for example with DataLatte @dudeAmir | datalatte) in partnership with Ocean you can submit the form here: https://forms.gle/Vr1ZCz3qUTK7jeDz9  and a member of the Ocean team will get in touch with you 🙂",,,0.4215
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],408537280685408256,dudeamir,2022-07-15 21:33:00,"Thanks a lot dude, i think defining bounties on top of our dataset is a really good idea, we will discuss it among our tech team and get in touch through the form. 🙌",,🚀 (3),0.7841
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-07-15 21:42:00,"Exactly, there are different types of bounties (see blogpost) hence you can choose one over an other - or all 3.",,🙌 (2),0.0
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],804604311015129089,doteth,2022-07-17 17:10:00,"Oceaners 🌊 

For those of you interested in engaging with Bounty Phase 1, Dimitra has just published 9 datasets on Ocean Market. They can now be purchased & downloaded for 5 OCEAN (exc fees) per dataset. 

🎯 Objective (Phase 1): Gather ideas about how the available datasets can be utilized, and provide aggregate insights through identifying correlations between datasets.

Digital Elevation Model: https://bit.ly/dimitra_1
Crop Statistics: https://bit.ly/dimitra_2
Crop Sowing Season: https://bit.ly/dimitra_3
Agriculture Information: https://bit.ly/dimitra_4
Vegetation Index: https://bit.ly/dimitra_5
Shape Files: https://bit.ly/dimitra_6
Soil Data: https://bit.ly/dimitra_7
Weather Data Monthly: https://bit.ly/dimitra_8
Weather Data Hourly: https://bit.ly/dimitra_9

🗓️ Entry submission deadline: August 12th for Phase 1

💰 Total bounty prize: $15,000 

Enter here 👉 https://bit.ly/dimitra-discord",,,0.8126
Ocean Protocol - ECOSYSTEM - 📊︱data-science-hub [993828971408003152],378499362730409984,bhalisa,2022-07-17 17:33:00,"Thanks @Andrea | Ocean Protocol, don't know how I missed the channel.",,🙏 (1),0.5842
