Channel,AuthorID,Author,Date,Content,Attachments,Reactions,sentiment
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],694909516285739038,trentmc0,2022-07-06 14:34:00,Hello all!,,👋 (1),0.0
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],194817764236460034,robinlehmann,2022-07-06 15:09:00,"Please be careful with this dataset - the creator is waiting for liquidity to sell their prepared datatokens into:
https://market.oceanprotocol.com/asset/did:op:0d042b987f9961a426cf88a74b772d4baf60938017df33636a04f9e2ee680431

They have a position of 84 datatokens (bought for much cheaper than the current price) waiting for liquidity to come in:
https://polygonscan.com/token/0xf6e22bb0aD0A9d22175c67a88aD666A5D48dcE76?a=0x9cee6de6d601edb9284c8538b5a041cbeffc463f",,👍 (2),0.5859
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],694909516285739038,trentmc0,2022-07-08 14:22:00,https://twitter.com/trentmc0/status/1545153163627577344?s=21&t=RL5pKDjhNOkczNE9z34GIw,,,0.0
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],716251155931332628,friso703,2022-07-08 15:12:00,I lost 5k ocean in datalatte set… I just want to understand how it dropped so drastically,,,-0.25
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],716251155931332628,friso703,2022-07-08 15:12:00,I was the first one to add liquidity and the datatoken likely wasnt traded yer,,,0.0
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],716251155931332628,friso703,2022-07-08 15:13:00,Really upset about this,,,-0.4391
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],716251155931332628,friso703,2022-07-08 15:33:00,Please have a look at this in context of the recent “exploit”… thank you,,,0.5859
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],780159213049479179,idiom_bytes,2022-07-09 05:28:00,👀 I would not buy the candy that james Andy is trying to sell 🍭,,,0.0
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],694909516285739038,trentmc0,2022-07-09 18:09:00,https://twitter.com/oceanprotocol/status/1545708401094713344?s=21&t=AZwyRAqYeJWg4XVah-d6lA,,,0.0
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],694909516285739038,trentmc0,2022-07-09 18:33:00,https://twitter.com/trentmc0/status/1545717671873986560?s=21&t=AZwyRAqYeJWg4XVah-d6lA,,,0.0
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],305723947658379274,drprk.eth,2022-07-11 15:01:00,underrated humour from Roberto,,🍭 (2),0.4767
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],694909516285739038,trentmc0,2022-07-12 04:01:00,https://twitter.com/oceanprotocol/status/1546581812864073731,,,0.0
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],489061151628460032,_ilhan,2022-07-12 05:33:00,"with attack you mean pool shares are being sold, to get the underlying ocean ?",,,-0.2263
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],489061151628460032,_ilhan,2022-07-12 05:34:00,"We have added liquidity to the bigger pools 3 weeks ago, should be able to see some rewards on the claims website ? I can't see anything yet.",,,0.4767
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],489061151628460032,_ilhan,2022-07-12 07:25:00,I just removed all liquidity from the pools.,,✅ (2),0.0
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],929126245130702848,0xaaronn,2022-07-12 13:14:00,"hey, i want to use ocean protocol with data providing, how does it work ?",,,0.0772
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],456226577798135808,Deleted User,2022-07-12 14:42:00,Mate,,,0.0
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],339391682120384513,d.langford,2022-07-12 20:15:00,🥲,,,0.0
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],929126245130702848,0xaaronn,2022-07-13 06:09:00,thx,,,0.3612
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],194817764236460034,robinlehmann,2022-09-29 21:27:00,"I allocated 100.000 veOCEAN but it does not show - is this list supposed to show all veOCEAN allocated or is there a formula behind it like last time?

Because if I sum this up then not much of the ~8 million OCEAN are allocated to data assets.",https://cdn.discordapp.com/attachments/993954438790258879/1025036222315376660/Screenshot_2022-09-29_at_15.26.28.png?ex=65e0865f&is=65ce115f&hm=3f423daf6a0a7bb429049a167e217cc95dee4829dff05e0e266daa3556d354b3&,,0.6486
Ocean Protocol - ECOSYSTEM - 🚜︱data-farming [993954438790258879],194817764236460034,robinlehmann,2022-09-30 15:09:00,Fixed now - thanks @Idiom | Ocean Protocol and @trizin,,👍 (2),0.4404
