Channel,AuthorID,Author,Date,Content,Attachments,Reactions,sentiment
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],1023969691548528700,wanderclyffex,2023-09-13 12:16:00,"Print ("" Hello Predictoor"")",,❤️ (2),0.0
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],725258139942912032,cakethy.,2023-09-13 14:13:00,Hello Predictoor,,ocean (2),0.0
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],922766984247136266,chif_odey,2023-09-13 20:54:00,Hello,,ocean (2),0.0
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],285872460060950530,qazim,2023-09-14 17:01:00,test,,ocean (2),0.0
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],725258139942912032,cakethy.,2023-09-15 13:59:00,is it possible to predict without using bot,,,0.0
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],804400713123102741,Norbert | Ocean#7805,2023-09-15 15:25:00,"Sure, but there is no interface for it. You have to interact with the contract.",,,-0.2846
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],725258139942912032,cakethy.,2023-09-15 16:00:00,"i have no idea how to do it, can u advise me briefly",,❤️ (1),-0.296
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],1023969691548528700,wanderclyffex,2023-09-15 17:19:00,"Hey @Cakethy , great question ! 

This readme contains the details about how you can build your own agents.

1) Trader bot readme -  https://github.com/oceanprotocol/pdr-backend/blob/main/READMEs/trader.md

2) Predictoor agent readme - https://github.com/oceanprotocol/pdr-backend/blob/main/READMEs/predictoor.md


Blog post explaining predictoor - https://blog.oceanprotocol.com/meet-predictoor-accountable-accurate-prediction-feeds-8b104d26a5d9#3f3a


Thank you 😊",,,0.784
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],804400713123102741,Norbert | Ocean#7805,2023-09-16 17:03:00,"It might get complicated. I’m trying to understand what you want to receive.
Using the bot should be the easiest way If you are not technical.
Are you looking for more control over the prediction submission?",,,0.4767
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],329222408672247808,feno1486,2023-09-21 14:45:00,"Hello! Maybe here can be info about how many predictoors is participate on this prediction? Becose this quanity can be changed after 5 mins and trader will dont know about it. I mean that if the amount of money in the stake has increased, then without knowing how many participants it is impossible to understand what this means. The trader will think that this prediction has great confidence, but in fact the number of participants may have increased and that’s all.",https://cdn.discordapp.com/attachments/1151066755796574389/1154307429127946331/Screenshot_4.jpg?ex=65e02811&is=65cdb311&hm=6feaea63f1fbf40d0b16087886a0a6870d8c4d6f2b392349284a99f7814f03f7&,👍 (2),0.8244
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],804400713123102741,Norbert | Ocean#7805,2023-09-22 16:27:00,"Hello! Thank you for your feedback, that's a great suggestion! Definitely with a great staked amount is useful to know from how many predictoors does that amount comes from.
I noted it and we are going to have it implemented soon.",,👍 (2),0.9508
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],804400713123102741,Norbert | Ocean#7805,2023-09-25 15:20:00,"We have been discussing this proposal, and although it sound good at first and can be helpful if used correctly, unfortunately it can be easily exploited using sybil attacks, in which case the metric is no longer trustable. Due to this, we are not going to add it to the website. We don't want to be exposed to any manipulation so we are planning to only show the metrics that are trustable.",,✅ (1),0.3565
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],329222408672247808,feno1486,2023-09-25 16:05:00,"Ok, got it",,👍 (2),0.296
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],905745114620645406,itadori9047,2023-09-25 20:50:00,https://discord.com/channels/612953348487905282/971047506857300020/1155114376488026182,,,0.0
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],905745114620645406,itadori9047,2023-09-25 20:50:00,@Norbert | Ocean,,,0.0
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],804400713123102741,Norbert | Ocean#7805,2023-09-25 21:35:00,"@itadori could you give some more info around the issue(wallet, browser, anything else), maybe retry again to make sure it's not some network issue?",,,0.3182
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],804604311015129089,doteth,2023-09-27 23:31:00,"@🤖 Predictoor 

The 1st Predictoor workshop is now LIVE 🚀 

Join here: https://x.com/oceanprotocol/status/1707051139525701908?s=46&t=qbN2Bsv6sYEAnM5oD4owIA",,"👍 (2),🔥 (1)",0.296
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],780159213049479179,idiom_bytes,2023-10-04 23:28:00,"**[Buying predictoor subscriptions while in testnet]**
Hi @itadori, you can buy the subscription using testnet OCEAN.
You can get testnet OCEAN for free here => https://github.com/oceanprotocol/pdr-backend/blob/main/READMEs/testnet-faucet.md
You can then buy the subscription from the app => https://test.predictoor.ai/",,🤖 (1),0.5106
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],268733992520384512,iamnazar,2023-10-05 23:20:00,"It would be cool to add sorting in descending and ascending order, for example, sorting by % of correct predictions",https://cdn.discordapp.com/attachments/1151066755796574389/1159510525277913259/image.png?ex=65e0a0d3&is=65ce2bd3&hm=85b727d8c278398367a64bff7548c1e5e46c60c1c8b8ea44105d6b6364c5328a&,👍 (3),0.3182
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],804400713123102741,Norbert | Ocean#7805,2023-10-06 14:21:00,"Deffinetly, good suggestion. Right now there are only 10 Assets on 1 page, and it's quite easy to figure out which one has the highest accuracy.
Once we are going to have move assets and there would be a need to scroll to see all the assets than sorting it's going to be a must.",,👍 (1),0.8479
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],994272939476267018,graceful.coder,2023-10-10 21:09:00,Started a thread.,,🚀 (3),0.0
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],240988635531313152,eenniiggmmaa,2023-10-11 22:00:00,hi predictoor on sapphire loads nothing,,,0.0
Ocean Protocol - ECOSYSTEM - 🤖︱predictoor [1151066755796574389],240988635531313152,eenniiggmmaa,2023-10-11 22:01:00,or am i doing somethign wrong? 😄,,,-0.4767
