Channel,AuthorID,Author,Date,Content,Attachments,Reactions,sentiment
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],717363377269244015,blockchainlugano,2023-07-26 03:18:00,Started a thread.,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],291700031805718530,stip11,2023-08-01 18:46:00,Hello 👋,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],959052060471488533,hitarayo_,2023-08-01 18:47:00,:ocean:,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],929347476178235474,cryptozeal_,2023-08-01 18:48:00,Here,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],850192138623778837,richard_bisong,2023-08-01 19:17:00,Hey Sailors 🏄‍♂️,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],987091390267809822,mhaano,2023-08-01 19:40:00,👀 Gm,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],209963946432528384,zippy1979,2023-08-01 20:37:00,GM Oceaners,,ocean (2),0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],892343466862981130,iamveektoria,2023-08-01 22:12:00,LFG! Oceaners🌊,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],521085194921312257,beason82,2023-08-01 23:54:00,Hey hey heeyyyyy,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],1080698406395187240,khuraym,2023-08-01 23:56:00,🌊,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],756122725495472138,jonathanbytesio,2023-08-02 00:45:00,Go go go,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],209963946432528384,zippy1979,2023-08-02 01:28:00,"We would like to start distributing more NFTs to people who attended AMAs, Twitter Spaces and events, these could at some point in the future have some bonus utility...
Instead of commissioning NFTs, we would prefer that the Ambassador Community could create them via generative art tools such as the midjourney bot in this discord.
If anyone wants to submit artwork for this, please go head and we will award 9XP to each winning submission 😎🤝",,,0.926
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],209963946432528384,zippy1979,2023-08-02 01:29:00,@Ambassador,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],209963946432528384,zippy1979,2023-08-02 01:29:00,You can drop submissions into this channel 🙂,,OPAPShield (8),-0.2732
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],209963946432528384,zippy1979,2023-08-02 01:34:00,Pinned a message.,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],717363377269244015,blockchainlugano,2023-08-02 02:27:00,Tier explanations and requirements.,"https://cdn.discordapp.com/attachments/1113013155514290228/1136002397307682816/mastersupporter_flyer.jpg?ex=65de29ad&is=65cbb4ad&hm=011dd9a6c3068f9fee37784d3487017c65276757cd35925c33c765637aa15486&,https://cdn.discordapp.com/attachments/1113013155514290228/1136002397605470268/ambassador_flyer.jpg?ex=65de29ad&is=65cbb4ad&hm=fdc0c74e9ab4c42b11e05a0b57e1d28fdbab585dd6f019a6328b09cbfd822e1c&,https://cdn.discordapp.com/attachments/1113013155514290228/1136002397915856926/elite_ambassador_flyer.jpg?ex=65de29ad&is=65cbb4ad&hm=2edc2259f7538e91fc3ccb4fb95579219d328e4e2be2f8f17bf917a37011e14f&,https://cdn.discordapp.com/attachments/1113013155514290228/1136002398226227271/legendary_ambassador_flyer.jpg?ex=65de29ad&is=65cbb4ad&hm=a5f65342cc1022e4902226405e815952ad487c5fd75915829779114f914ca6d0&",ocean (9),0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],717363377269244015,blockchainlugano,2023-08-02 02:28:00,Pinned a message.,,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],717363377269244015,blockchainlugano,2023-08-02 02:41:00,"😎  Here is a good start for all of you to get some conversation flowing. Any of you watch this video on tokengated AI chatbots? https://www.youtube.com/watch?v=TVDsZY9_cu8
What do you think about this? Feedback or comments, it's pretty big 🧠",,check (4),0.7677
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],739132787499597824,kreigdk,2023-08-02 04:11:00,Hey all),,,0.0
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],717363377269244015,blockchainlugano,2023-08-02 04:12:00,welcome new @Recruit  @KreigDk 🔥 and @assassin ! Please see above pinned message regarding tiers and XP point accrual. Feel free to start posting questions about Ocean Protocol or contribute ideas about the data economy!,,,0.9103
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],739132787499597824,kreigdk,2023-08-02 04:13:00,I'm glad I was able to get here),,,0.4588
Ocean Protocol - ECOSYSTEM - 🪢︱treasure-hunter [1113013155514290228],739132787499597824,kreigdk,2023-08-02 04:19:00,May I know… Can I make content for ocean porotocol right now?,,,0.0
