Channel,AuthorID,Author,Date,Content,Attachments,Reactions,sentiment
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],694231331579756574,akshay0738,2021-11-22 18:00:00,@Deleted User is a scammer,,,0.0
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],368405653217345536,denkobetona,2021-11-22 18:01:00,banned,,,-0.4588
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],200289288741584906,karubinu,2021-11-24 00:05:00,Pls verify,,,0.0772
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],200289288741584906,karubinu,2021-11-24 00:05:00,N/A,https://cdn.discordapp.com/attachments/912281243012460594/912735546416169030/IMG_0216.png?ex=65de0838&is=65cb9338&hm=de0c95461063cfb336f3eafedc4b990310dbc53972beddba8562691a4e44508e&,,0.0
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],200289288741584906,karubinu,2021-11-24 00:05:00,Tech_Support✅#8353,,,0.0
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],368405653217345536,denkobetona,2021-11-24 00:06:00,banned,,,-0.4588
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],824042845656055838,padskee,2021-11-29 07:23:00,ADMIN#4692,,,0.0
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],780159213049479179,idiom_bytes,2021-12-05 10:29:00,mellow22#8129,,,0.0
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],694909516285739038,trentmc0,2021-12-18 20:07:00,Kyliee#2473,,,0.0
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],756512973870203011,trangnv,2021-12-23 09:31:00,qenyan#2647,,🙌 (1),0.0
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],694909516285739038,trentmc0,2021-12-26 05:21:00,Fireball#5213,,,0.0
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],312779550230708225,gritty698,2022-01-02 09:16:00,got a message on telegram from @trentmc0 I think. I assume the telegram group...,https://cdn.discordapp.com/attachments/912281243012460594/927007313880047636/unknown.png?ex=65e3cf56&is=65d15a56&hm=c5cd54cf5062ad7872875bf66cc568c3cb49d40cd05fb468820ade23d2bf2231&,,0.0
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],694909516285739038,trentmc0,2022-01-02 20:27:00,This definitely wasn't me. What's their discord name / number?,,,0.0772
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],401223631050506240,.scottm3,2022-01-04 21:32:00,N/A,https://cdn.discordapp.com/attachments/912281243012460594/927917405387255848/Screen_Shot_2022-01-04_at_4.30.49_PM.png?ex=65dde46d&is=65cb6f6d&hm=545abc75499d08cedf99bb1f3c052ceafb08232ab9c91a742e322ef05deb1c00&,,0.0
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],368405653217345536,denkobetona,2022-01-04 21:40:00,banned,,👍 (1),-0.4588
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],920627151194189874,vbothra,2022-01-12 20:52:00,Scam?,https://cdn.discordapp.com/attachments/912281243012460594/930806358478037072/unknown.png?ex=65df2c79&is=65ccb779&hm=e5fcc2b5e1fb3723c6503206ac8100c458ddad4c4fc6f01abe942ac4e0df72c7&,,-0.5719
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],194817764236460034,robinlehmann,2022-01-12 20:53:00,Any unwanted DM in the crypto space is a scam,,,-0.6808
Ocean Protocol - GENERAL - 🚨︱report-scammers [912281243012460594],368405653217345536,denkobetona,2022-01-12 21:02:00,banned,,👍 (1),-0.4588
