Channel,AuthorID,Author,Date,Content,Attachments,Reactions,sentiment
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],420651712488144898,kuerax,2020-08-26 02:41:00,Hey! Introduce yourself here after you join the channel and start connecting with like-minded people! This chat is meant for presentations only and small discussions. Ocean Protocol discussion into #💭︱general-chat,,,0.4184
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],420651712488144898,kuerax,2020-08-26 03:08:00,Pinned a message.,,,0.0
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],405428214673178626,endro__,2020-08-26 13:42:00,"I'll go first 😄 

Hi everyone, my name is Tom but more widely known as **endro labs** (https://endro.io) in the cryptospace. I am from a small country called Belgium and got to know Ocean via Dimitri when BigChainDB was still the main focus! My daily endeavours are at Lisk community but i'm also trying to take on bits and pieces in the Polkadot community. My development activities are currently **Arcado Network**, a decentralized gaming environment where the main drive would be to try and bring the world from Ready Player One to life! Some might also know me from **Hallar** (https://hallar.io) which is the meeting ground for future networks and validators for DPOS consensus. The platform is currently targeted at the Lisk Ecosystem but would love to expand it in the future. 

Starting next week, i will be starting as a full-time crypto roamer so hit me up if you want to connect or just have a fun chat 😄 I also have experience with AI as a service (Google, FastAPI, NLP engines, Tensorflow, ..) so hit me up if you need some help or info regarding AI or Blockchain",,"💯 (2),👍 (4),💪 (1)",0.972
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],493130689709867008,innopreneur,2020-08-26 22:46:00,Thanks @endro  for sharing your intro 🙂,,💪 (1),0.6908
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],749531331578560573,Muhammet-bbtechnologies.co.uk#3688,2020-08-30 15:52:00,"Hello, My Name is Muhammet. I am now preparing a PoC for our Customer Relationship Centric (Gen 1) R&D project in order to see if Ocean Protocol is applicable for our product. My first perception is very positive about Ocean Protocol.  I hope, team will choose the great framework (finger crossed 🙂 ) All the best.",,👍 (4),0.9441
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],625415196713943051,alexcos20,2020-08-31 00:35:00,"thanks @Muhammet-bbtechnologies.co.uk   If you have technical questions, pls join us on #💻︱dev-support-old",,,0.6597
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],235119194323025920,pyrus.c,2020-08-31 13:28:00,"Greetings, all tech-brothers. I am Pyrus, a free entity with no corporate ties as of yet. Currently being new to crypto, so I have been doing intensive research in order to deepen my knowledge so that I may soon fabricate something of my own on the blockchain.",,"👀 (2),👍 (4)",0.5994
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],677670332043362335,aron.dev,2020-09-14 19:15:00,"Hi everyone! I'm Aaron, a research engineer at Conflux Network. I mostly work with examining integrations and also doing some small scale demonstrations of those integrations. Definitely looking to learn more and hopefully combine a 3000+ TPS PoW blockchain and the data economy potential of Ocean!",,"👍 (4),👋 (3)",0.7401
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],703299861029584927,Sakshi Dhamija#0272,2020-09-23 13:47:00,"Hello everyone, 
We at Zubi are on a mission to make emerging tech education accessible, affordable, and achievable for everyone across the globe.
I heard about Ocean Protocol and was inspired by the work you have done in Blockchain development, not to mention your Decentralized Data Exchange. I was wondering if Ocean Protocol is looking to spread it’s awareness thru courses/workshops/events among Indian developer community, that will lead to Web3, DeFi and other technologies adoption.
Thank You.",,👋 (1),0.7906
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],608800556718358612,StepanPlyushkin#1339,2020-09-25 06:23:00,"Hello - Stepan Plyushkin here.  Just an end user looking for protocols with value to invest in and learn web3 tech on.  Done with the honeymoon phase of moons and lambos, onward to tech that will stay and bring untility to this space.  Hoping to learn alot about this protocol and chain interoperability/data usage overall.  Thanks.",,"👍 (3),✌️ (1)",0.7964
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],439287956356726784,tvachon,2020-10-03 01:50:00,"hi all! I'm Travis, and I'm building https://itme.company/ on top of https://solidproject.org/ - I'm super interested in ways we might use Ocean to let people monetize content they create in their Solid Pods!",,🙂 (2),0.893
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],433319123422937099,gixer6,2020-10-07 01:40:00,"Hi Everyone, I'm Tom twitter:@cravent I came across your project watching IvanOnTech it was a great interview btw. Exiting project you have, actually iv been building a conventional datalake for my employer the past two years, specifically the consumption end so I recognise what your doing, very good.  I'll come back for a deep dive maybe I can find a way to contribute something.  P.S id love to see this go mainstream my boss hates when I talk about blockchain haha (in her face)",,"👀 (1),🚀 (1)",0.9117
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],196532166723633153,sarahsweetchilli,2020-10-10 09:24:00,Hi everyone! My name is Sarah and I'm studying to be a data scientist. I'm very excited about OCEAN,,,0.4561
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],196532166723633153,sarahsweetchilli,2020-10-10 09:29:00,"Hoping to learn as much as I can about this protocol, and eventually become a developer for / on this chain. I have background in junior web dev (node.js, ASP.NET, django) and Python Machine Learning. I'm currently learning how to put blockchain into my applications, mainly programming with ETH, EOS, XLM, DOT and OCEAN. I'm willing to contribute to anyone's OCEAN projects, hit me up if you want my help 😊  Github: https://github.com/SarahKay99, LinkedIn: https://www.linkedin.com/in/sarah-kay-921781197/, Telegram: sarahkay99",,👍 (3),0.7003
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],400766462593335298,wardy6987,2020-10-10 22:14:00,hello im wardy and im here to party .,,😆 (3),0.4019
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],759102009335873566,shivaramkr,2020-10-14 21:11:00,"Hi, I am Shivaram K R. I am Co-founder and CEO of curl.tech. I am part of Bangalore Torpedo team (Odyssey Momentum Hackathon). We are working on Ocean Protocol in our use case.",,"👍 (1),🙏 (2)",0.0
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],348739376014032896,carbonfeet,2020-10-14 21:16:00,Hi everyone! I am a blockchain dev and also part of the team Bangalore Torpedo in the Odyssey Momentum. Excited to learn more about Ocean and integrate it with our solution. Hoping to learn from everyone here. Thanks 🙂,,"👍 (1),🙏 (2)",0.8655
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],683225126212337685,tannedoaksprout,2020-10-14 21:45:00,hey there – this discord doesn't look super active – what's the most active spot in the ocean community?,,,-0.8685
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],493130689709867008,innopreneur,2020-10-14 21:55:00,"> hey there – this discord doesn't look super active – what's the most active spot in the ocean community?
@Oak wrong channel for discussion. But discord is focused on technical community and telegram is focused on general community - https://t.me/oceanprotocol_community",,👍 (1),-0.5901
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],556889713257087141,rodar3171,2020-10-15 10:28:00,"hi @here I know discord is for technical discussions but there's a serious issue that's been brewing for sometime regarding the Ocean wallet on Bittrex, and I haven't seen any official communication about it. 

here's my issue -- 
the ocean wallet on bittrex has been inactive for weeks. my tokens were not withdrawn successfully, yet they have not been restored to my bittrex wallet either. Bittrex says they can't do anything until the wallet is back online and they made it sound like it was on the Ocean team to get it fixed, and to only check back when it's online but they did not give any timeline. 
Can I know what's going on? This has been going on for weeks - why is the ocean wallet on bittrex inactive/ offline?",,,-0.7316
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],675877439137644560,Coldswet0827#5593,2020-10-20 00:25:00,I need help I have $Ocean on my counbase wallet that I can't sell they only gave me half of my original bag for the hard fork. Help @Ambassador,,,0.743
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],420651712488144898,kuerax,2020-10-20 00:33:00,@rodar3171 @Coldswet0827 please write in #💭︱general-chat,,,0.3182
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],390203308981354511,eldorado2678,2020-10-21 10:21:00,Hi there team 🙂,,👋 (1),0.0
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],766583496167653406,scottyob86,2020-10-22 03:41:00,"Hi all! I’m Scott, I work in hospitality in Chicago. 

I believe in the future of data marketplaces and would love to be a part of this incredibly Necessary step to create a robust data marketplace and economy. Starting with the ocean academy and hoping there can be opportunities in the future!",,"👀 (2),👍 (2)",0.9285
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],768728480758104085,testk#6242,2020-10-22 14:56:00,"Hi All! I am Amod, from Thalus.AI we having been looking at Ocean Protocol for our use-cases.",,👍 (3),0.0
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],420651712488144898,kuerax,2020-10-26 19:56:00,hey @Texacan45 I am afraid there isn't much I can do  regarding this specifically - please write in #💭︱general-chat about this,,,0.3182
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],420651712488144898,kuerax,2020-10-26 19:56:00,"⚠️⚠️⚠️ There are scammers impersonating admins of this group. Please be very careful, and know that admins won't message you first. Never give out your personal information or information that can be used to access your wallet to anyone! ⚠️⚠️⚠️

❗❗❗
Please note that the scammers trying to impersonate the admins will redirect you to a fake Ledger website or fake Ocean protocol website asking your private keys and seed phrase of ledger. Please do not give your private keys/Seed phrase to anybody",,,0.2228
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],516591981187694592,semanticbeeng,2020-10-26 20:18:00,"Hello - my name is Nick Vintila, and am focused on building support for `machine learning engineering`, to bridge the gap from experimental analyses and data products,, between science and engineering. (as architect often need to puzzle together tech with duplicate functionality and conflicting designs)

In particular am working on a `feature registry` & `feature store` using `apache hudi`.
If you like any of the ideas here https://cwiki.apache.org/confluence/display/HUDI/Hudi+for+Continuous+Deep+Analytics then would love to discuss.

Some topics that I am working from:
Hoping that these hash tags make it easier to find affinities and search.

`#DataGovernance` https://twitter.com/search?q=%23datagovernance%20(from%3Asemanticbeeng)&src=typed_query
`#MachineLearningEngineering`  https://twitter.com/search?q=%23MachineLearningEngineering%20(from%3Asemanticbeeng)
`#DataFabric` https://gist.github.com/SemanticBeeng/2edad7a5e2cd7cd6af5cde824b4e0da0
`#NonStationaryLearning`
  * https://twitter.com/search?q=%23Nonstationarylearning%20(from%3Asemanticbeeng)
  * https://twitter.com/search?q=%23ConceptDrift%20(from%3Asemanticbeeng)
  * https://twitter.com/search?q=%23covariateShift%20(from%3Asemanticbeeng)

Not a `blockchain` expert but am working on techniques to bridge between distributed application logic and `smart contract` functionality.

I studied `OceanProtocol` vision and high level design material quite a bit but not yet knowledgeable enough. If you think am missing some point please point me to material that I need to study.

Based on my understanding so far I do have some premises on how my work & focus relate to `OceanProtocol`. 
One of my first goals is to verify those premises with people here and their experiences.

Here's the first one https://twitter.com/semanticbeeng/status/1319889341074804736
> *""Data"" needs to be a #dataGovernance ""asset"" before being a #blockchain ""asset"" because one cannot contract and trade in terms unless they are well specified.*",,,0.9218
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],516591981187694592,semanticbeeng,2020-10-26 20:24:00,"The link above references material on a framework and process that can help organizations with their own internal governance towards becoming ready to partake in the `data marketplace`.

@Manan patel |Band Protocol given the above motivation may we have a channel on `#data-governance` ? (asking because I know there is some channel reorg going on). 

Could make it private if necessary.",,,0.765
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],516591981187694592,semanticbeeng,2020-10-26 20:29:00,Also quite keen to learn about challenges in adoption and client / user requirements that may not fit with current design. What is the current process to digest these issues and potentially complement the current  functionality and design ?,,,0.246
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],516591981187694592,semanticbeeng,2020-10-26 20:57:00,"Where is the latest discussion, work, etc on ""compute to data"" support, please? 
I am developing this multi-cloud, multi-tenant data mesh and there might be quite a bit of reuse possible.",,👀 (1),0.6124
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],744684950800040047,John G. Fisher#9193,2020-11-12 00:08:00,"Hey everyone, I'm John from the USA. My background is in software, you can find me on LinkedIn https://www.linkedin.com/in/jgordonfisher/ and YouTube https://youtube.com/JohnGFisher. I am looking forward to building apps on the Ocean Protocol!",,,0.0
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],420651712488144898,kuerax,2020-11-17 22:41:00,Introduce yourself here and post on #✨︱find-a-team-old and improve your exposure to web3*AI opportunities 👋,,,0.6705
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],420651712488144898,kuerax,2020-11-18 22:04:00,Pinned a message.,,,0.0
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],727860834948350033,emeroid.,2020-11-26 02:25:00,"Hi all, my name is Emeka Mbaegbu, i am from Nigeria. I am a full stack developer and am looking forward to building apps here",,,0.0
Ocean Protocol - GET STARTED - 🖖︱introduce-yourself [747887740263333909],625415196713943051,alexcos20,2020-11-26 04:32:00,"> Hi all, my name is Emeka Mbaegbu, i am from Nigeria. I am a full stack developer and am looking forward to building apps here
@emeroid1795 - welcome !",,😀 (1),0.5093
