Channel,AuthorID,Author,Date,Content,Attachments,Reactions,sentiment
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],194817764236460034,robinlehmann,2021-11-20 23:46:00,gm 🌊,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],305723947658379274,drprk.eth,2021-11-21 00:25:00,gm 🌊,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],532685641851338774,aqualityusername,2021-11-21 01:01:00,gm  🌊,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],194817764236460034,robinlehmann,2021-11-21 18:15:00,gm 🌈,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],910253665053446206,Cord_bot#9639,2021-11-21 21:48:00,#🌞︱gm,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],532685641851338774,aqualityusername,2021-11-22 20:22:00,GM 🌊,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],532685641851338774,aqualityusername,2021-11-23 20:36:00,GM 🌊,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],782929693446897695,realdatawhale,2021-11-23 21:48:00,gn. 🌙,,,0.296
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],194817764236460034,robinlehmann,2021-11-23 22:42:00,gm 🚀,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],694909516285739038,trentmc0,2021-11-24 14:30:00,gm 🐬,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],368405653217345536,denkobetona,2021-11-24 14:30:00,gm 🌊,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],532685641851338774,aqualityusername,2021-11-24 20:06:00,Gm 🐙,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],194817764236460034,robinlehmann,2021-11-24 21:28:00,gm 🧠,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],194817764236460034,robinlehmann,2021-11-25 16:03:00,gm ☕️,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],510566117861752836,iamkn1ght,2021-11-25 20:24:00,:GM: :ty: :1794_sparkles:,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],408537280685408256,dudeamir,2021-11-26 16:01:00,gm 🍵,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],305723947658379274,drprk.eth,2021-11-26 16:03:00,gm ☕,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],194817764236460034,robinlehmann,2021-11-26 16:10:00,gm 🚀,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],532685641851338774,aqualityusername,2021-11-26 22:37:00,GM 😀,,,0.0
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],896182199332794428,HSH#4255,2021-11-28 19:39:00,Gn,,,0.296
Ocean Protocol - GET STARTED - 🌞︱gm [911643560594505809],532685641851338774,aqualityusername,2021-11-28 22:28:00,GM 🌊,,🌊 (1),0.0
