Date,MessageCount
2019-08-01,38
2019-09-01,32
2019-10-01,39
2019-11-01,60
2019-12-01,103
2020-01-01,48
2020-02-01,101
2020-03-01,14
2020-04-01,24
2020-05-01,28
2020-06-01,297
2020-07-01,469
2020-08-01,725
2020-09-01,518
2020-10-01,1145
2020-11-01,1279
2020-12-01,715
2021-01-01,915
2021-02-01,901
2021-03-01,1659
2021-04-01,1662
2021-05-01,2617
2021-06-01,1405
2021-07-01,1067
2021-08-01,1222
2021-09-01,1328
2021-10-01,1558
2021-11-01,1468
2021-12-01,1700
2022-01-01,1637
2022-02-01,1507
2022-03-01,1631
2022-04-01,2012
2022-05-01,1777
2022-06-01,2312
2022-07-01,7964
2022-08-01,2070
2022-09-01,690
2022-10-01,704
2022-11-01,602
2022-12-01,572
2023-01-01,645
2023-02-01,654
2023-03-01,2010
2023-04-01,1621
2023-05-01,1822
2023-06-01,1125
2023-07-01,743
2023-08-01,2302
2023-09-01,1497
2023-10-01,1371
2023-11-01,1205
2023-12-01,1503
2024-01-01,971
2024-02-01,525
