Author,MessageCount
MEE6#4876,17878
Deleted User,5825
blockchainlugano,1199
kreigdk,1116
dotunwilfred.eth,1048
bhavingala,1011
zippy1979,861
robinlehmann,852
lukas85#6738,796
doteth,655
OceanDiffusion#4502,637
bigimeyagazzz,542
birususama,536
white_rider_,513
qazim,382
alexcos20,371
mickssp,328
denkobetona,312
OceanGPT#0740,312
hanadi.fh,299
wanderclyffex,297
innopreneur,290
jesusdatalatte,289
zephlino_1,273
lrt8723,265
cesar_cripto,263
Alexpao#9344,256
Ocean Protocol • TweetShift,250
idiom_bytes,248
swish24_08,247
nickscavuzzo33,238
feno1486,237
georgegem,210
abdulmazid_,209
stip11,209
jonathanbytesio,200
sarahsweetchilli,185
doink#3458,178
Norbert | Ocean#7805,177
mantisclone,172
bhalisa,171
chefcryptochris,170
hitarayo_,169
khuraym,168
richard_bisong,167
wally0221,164
crabdippywillis.wen,162
kuerax,146
dogerton,146
graceful.coder,146
drprk.eth,134
vitusdaniel1,130
realdatawhale,121
denkcryptoo12,121
QueenPat#9259,112
kitblake,111
himas.,107
Daniel from Ocean#3725,105
XP Bot#1778,104
austineking,103
liquidsurfer,102
joshkeyz.,101
iamveektoria,99
icelander1,98
kremalicious,98
dudeamir,97
MarilynCryptic#0693,96
web3ocean,85
cryptozeal_,84
jb1908,83
gareth0411,83
dscrdnm,82
3vdaimoniac,81
Maki#4920,81
ssskylark,79
nosedive2moon,78
Xk9eboF6#0464,77
pacha912,77
iamnazar,77
TimDaub#7709,75
igork_ldn,73
carmina19,73
mc_thx,71
Crypto Rootz#1318,71
femiyoghurt,70
olofhakansson_,69
Caesar The Coordinape Bot,66
ancarizan,63
d.langford,62
kennyboss.crypto,61
ice_e_fresh,59
bluetyphoon77,57
.scottm3,57
eth_pooly,57
luccos.,56
verahert,55
aqualityusername,53
AutoBot#1760,51
Timothy.AthenaProtocol.Eth#2384,51
knothere.,49
pepecipher,49
chif_odey,48
5ikal,48
peekabuu12,47
christian_casazza,46
trentmc0,45
nazariyv,45
defisensie,43
DAVID OF NIRVANA#6220,43
0xnoe,42
ttk100#9960,42
ikamskiy,41
Equanikus#1962,41
hack.aiqc,41
korizhave,40
zamirana,40
kukulkan6732,40
avret,40
shidi9232,40
Midjourney Bot#9282,40
kush83,40
E G#5278,40
mmdd2651,39
pozitivchik.eth,39
jsopel,39
xiscor,38
emcee1,38
myles5837,37
bigtimesmalltime,37
jon77777,37
pablor3211,37
taichijiro,36
youaintmyfry,36
trishul#4714,35
dusty2791,35
due_writer,33
milanweb3,33
Mattt#4351,33
sszylus,32
Bluecodes#6836,32
wizardofold,32
cassette38,31
dhlegit,31
tobiasmanthey,31
butterflyq,31
hopper255,31
mr.metaverse,30
andriy7906,30
0g_bagsy,29
tarunk99,29
oiclid,29
damien_q,29
eg0maniac,28
mikey85#0158,28
maindanz,28
cami1965#2319,28
balikhasan,28
rabbidfly,28
toastyfevers,28
emi419,27
lybomir72,27
zenkert,27
anu__,27
mrwhite4108,27
unstablenoobs,27
jeez7829,27
nixon323,27
miamisilvio,27
rafaelestermann2000,26
ben_datastake,26
kareemikassab,26
noxx01,25
i_am_ilya.,25
mnkyntigr(UTC-4)#4435,25
aar0n__,24
toucan.br,24
inspairo,24
friso703,24
rish_kilt,24
feronfyre1610,24
jeugregg,24
ebenezer_.,24
cryptofather5645,23
ruslvn,23
kwstas.,23
web3dev#1655,23
psaah,22
afonso9673,22
smhmyheadmyhead,21
insidenima,21
tigert0221,21
