Channel,AuthorID,Author,Date,Content,Attachments,Reactions,sentiment,IsQuestion,DetectedTopics
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 16:46:00,"hello, what is the link to the docs?",,,0.0,True,General Information
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 16:47:00,who do i need to get in touch to promote my project?,,,0.3818,True,General Information
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 16:49:00,how can i mint multiple datatokens?,,,0.0,True,Technical
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 16:55:00,what fees are implemented?,,,0.0,True,Price-Related
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 16:56:00,what are the fees?,,,0.0,True,Price-Related
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 16:58:00,what are the fees?,,,0.0,True,Price-Related
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 16:58:00,what is the opc fee currently set to?,,,0.0,True,Price-Related
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 18:23:00,how can i get any grants?,,,0.2263,True,General Information
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 18:25:00,how do i get money?,,,0.0,True,General Information
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 18:37:00,how to i bridge tokens?,,,0.0,True,Technical
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 20:20:00,how can i get money?,,,0.0,True,General Information
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 20:20:00,can i get any grants?,,,0.2263,True,General Information
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],776809690734395433,swish24_08,2023-03-09 20:42:00,how can i get veOcean?,,,0.0,True,General Information
Ocean Protocol - GET STARTED - 🧐︱ask-the-ai [1082698926865522808],843831770062913568,white_rider_,2023-03-09 20:45:00,How can I get grants?,,,0.2263,True,General Information
