Author,AvgDailyMessageCount,YearMonth,Hour
witchesrune,15.0,2022-08,8
raiden_kev,5.0,2022-08,5
Neeeeira#9526,5.0,2022-08,5
Gru (Matt Wilson)#3202,4.0,2023-11,5
thesamap#7822,4.0,2023-08,23
irokesenigor,4.0,2021-05,20
ajodis,3.0,2021-04,3
joeinternet,3.0,2021-08,1
parashar,3.0,2021-06,2
in_lakech,3.0,2021-09,0
abedkingfc91,3.0,2023-05,4
bruiselee#8941,3.0,2022-01,23
shdwsqrrl,3.0,2021-11,6
prexy8150,3.0,2022-08,5
dainaman123,3.0,2023-07,18
amalthea__,3.0,2021-01,15
᲼᲼᲼᲼᲼᲼ ᲼᲼᲼᲼᲼᲼#4876,3.0,2022-08,7
touchofmyk,3.0,2020-12,3
Władysław Anders#6127,3.0,2022-08,2
0xwamgi#6517,3.0,2023-05,13
esetelopez,3.0,2022-04,7
zooryy,3.0,2022-08,2
Tercel#1601,3.0,2020-08,7
0xkydo,3.0,2021-02,22
tjolpie,3.0,2023-05,12
Chris | Frogs Anon#8149,3.0,2023-03,1
EmeraldStone#1762,3.0,2021-03,17
.metahulk,3.0,2021-08,10
_martijn.,3.0,2022-06,13
ichrysakis#4587,3.0,2022-06,15
arn0ld.,3.0,2023-09,10
sadam6633,3.0,2022-08,5
monkeyd23#5729,3.0,2020-10,3
moneymagic6666,3.0,2022-04,0
Made Easy#7468,3.0,2021-10,14
wzrduk,3.0,2022-04,17
monte2615,3.0,2022-07,8
Mason#5694,2.5,2020-06,12
0x9000,2.0,2023-06,18
encrypted_soul_,2.0,2023-12,0
nurekt,2.0,2022-02,22
cg153,2.0,2022-04,8
elainecara,2.0,2022-01,19
kalina6974,2.0,2023-06,22
wealth igolima#0989,2.0,2022-03,8
jackdaniel3636,2.0,2022-08,1
shamburgularara,2.0,2021-12,19
jabzr,2.0,2019-12,11
keatonk6787,2.0,2021-12,0
j cat#6264,2.0,2022-04,5
daedelan.,2.0,2022-01,7
macal09,2.0,2021-12,5
w4vitale,2.0,2022-09,17
modsq#0556,2.0,2022-01,16
huzeyinn,2.0,2023-05,4
maebaster,2.0,2022-08,5
cathewalls,2.0,2022-04,8
casey2271,2.0,2022-02,7
EatMe#4473,2.0,2022-02,13
rookie047,2.0,2023-05,10
okan_eth,2.0,2023-04,18
m4yk0l.bat,2.0,2022-08,1
Salssify#1229,2.0,2022-03,3
Thorbeos#1341,2.0,2022-06,17
emmzii,2.0,2022-02,11
ashle3d,2.0,2022-01,20
eleventh19,2.0,2021-03,4
kamitwenty4,2.0,2023-01,0
tradingarmour,2.0,2021-05,3
linaly#0547,2.0,2022-08,10
rriicchh_fish,2.0,2023-03,9
makn.,2.0,2022-01,4
midnightblue223,2.0,2022-01,3
imb3035,2.0,2022-08,5
Jerianeth#1549,2.0,2021-11,21
krakensupport,2.0,2021-07,1
polo8t6yu,2.0,2023-11,7
kingscoldaf,2.0,2023-08,20
